Customer ID,State,Treatment Group
458,OH,Mail
459,VA,Mail
460,VA,No Mail
461,VA,Mail
462,VA,No Mail
463,GA,Mail
464,OH,Mail
465,GA,Mail
466,OH,No Mail
467,OH,No Mail
468,GA,No Mail
469,OH,Mail
470,GA,Mail
471,GA,Mail
472,VA,Mail
473,GA,Mail
474,OH,Mail
475,GA,No Mail
476,OH,Mail
477,GA,Mail
478,OH,No Mail
479,GA,No Mail
480,VA,No Mail
481,GA,No Mail
482,GA,Mail
483,GA,Mail
484,OH,No Mail
485,GA,No Mail
486,VA,Mail
487,OH,No Mail
488,OH,No Mail
489,OH,No Mail
490,OH,Mail
491,VA,No Mail
492,OH,Mail
493,OH,Mail
494,VA,Mail
495,GA,Mail
496,OH,No Mail
497,OH,Mail
498,GA,No Mail
499,GA,No Mail
500,GA,Mail
501,VA,No Mail
502,GA,Mail
503,GA,No Mail
504,VA,No Mail
505,OH,No Mail
506,VA,No Mail
507,GA,No Mail
508,OH,Mail
509,OH,No Mail
510,VA,No Mail
511,GA,No Mail
512,OH,Mail
513,GA,No Mail
514,GA,No Mail
515,VA,No Mail
516,GA,No Mail
517,OH,Mail
518,GA,No Mail
519,OH,No Mail
520,GA,No Mail
521,VA,No Mail
522,GA,Mail
523,OH,No Mail
524,GA,Mail
525,GA,No Mail
526,VA,Mail
527,OH,No Mail
528,VA,Mail
529,OH,Mail
530,OH,Mail
531,OH,Mail
532,OH,Mail
533,VA,No Mail
534,OH,No Mail
535,OH,No Mail
536,GA,No Mail
537,VA,No Mail
538,GA,Mail
539,OH,Mail
540,GA,Mail
541,GA,No Mail
542,OH,No Mail
543,GA,No Mail
544,VA,Mail
545,VA,Mail
546,OH,Mail
547,GA,Mail
548,VA,No Mail
549,GA,No Mail
550,OH,No Mail
551,OH,No Mail
552,GA,No Mail
553,GA,Mail
554,VA,Mail
555,OH,No Mail
556,OH,No Mail
557,GA,No Mail
558,GA,Mail
559,VA,Mail
560,OH,No Mail
561,GA,Mail
562,GA,No Mail
563,GA,Mail
564,GA,Mail
565,GA,Mail
566,OH,Mail
567,GA,No Mail
568,OH,No Mail
569,VA,Mail
570,OH,Mail
571,GA,Mail
572,OH,Mail
573,OH,No Mail
574,GA,No Mail
575,GA,Mail
576,VA,Mail
577,GA,No Mail
578,GA,No Mail
579,VA,Mail
580,GA,No Mail
581,OH,No Mail
582,VA,No Mail
583,OH,Mail
584,GA,Mail
585,GA,Mail
586,OH,No Mail
587,VA,No Mail
588,GA,No Mail
589,VA,Mail
590,OH,No Mail
591,OH,No Mail
592,GA,No Mail
593,GA,Mail
594,OH,No Mail
595,VA,Mail
596,OH,Mail
597,GA,Mail
598,VA,No Mail
599,VA,No Mail
600,OH,Mail
601,OH,No Mail
602,OH,Mail
603,VA,Mail
604,GA,No Mail
605,VA,No Mail
606,GA,No Mail
607,VA,Mail
608,VA,Mail
609,VA,Mail
610,OH,Mail
611,VA,Mail
612,GA,No Mail
613,VA,Mail
614,GA,Mail
615,GA,No Mail
616,GA,Mail
617,GA,Mail
618,GA,No Mail
619,VA,Mail
620,GA,Mail
621,GA,Mail
622,GA,No Mail
623,GA,Mail
624,OH,No Mail
625,OH,No Mail
626,OH,No Mail
627,GA,No Mail
628,GA,No Mail
629,GA,No Mail
630,VA,Mail
631,OH,No Mail
632,OH,No Mail
633,OH,Mail
634,OH,No Mail
635,VA,Mail
636,OH,Mail
637,OH,No Mail
638,OH,No Mail
639,GA,No Mail
640,VA,No Mail
641,OH,No Mail
642,GA,No Mail
643,OH,Mail
644,OH,No Mail
645,OH,No Mail
646,OH,Mail
647,VA,No Mail
648,GA,Mail
649,OH,No Mail
650,GA,Mail
651,OH,Mail
652,GA,No Mail
653,VA,Mail
654,OH,Mail
655,VA,No Mail
656,VA,Mail
657,GA,No Mail
658,OH,No Mail
659,GA,Mail
660,OH,Mail
661,GA,Mail
662,GA,No Mail
663,GA,No Mail
664,OH,Mail
665,GA,No Mail
666,GA,Mail
667,VA,No Mail
668,OH,No Mail
669,VA,No Mail
670,VA,No Mail
671,VA,Mail
672,VA,Mail
673,GA,No Mail
674,OH,No Mail
675,GA,No Mail
676,GA,No Mail
677,OH,Mail
678,OH,Mail
679,GA,Mail
680,GA,No Mail
681,VA,Mail
682,GA,No Mail
683,GA,Mail
684,GA,Mail
685,OH,No Mail
686,GA,No Mail
687,OH,Mail
688,VA,Mail
689,GA,Mail
690,VA,No Mail
691,OH,No Mail
692,OH,No Mail
693,OH,No Mail
694,GA,No Mail
695,GA,Mail
696,OH,Mail
697,VA,Mail
698,VA,No Mail
699,GA,Mail
700,OH,No Mail
701,GA,Mail
702,GA,No Mail
703,GA,Mail
704,VA,No Mail
705,OH,Mail
706,VA,Mail
707,OH,No Mail
708,OH,No Mail
709,VA,No Mail
710,GA,No Mail
711,VA,Mail
712,GA,No Mail
713,GA,Mail
714,GA,Mail
715,GA,Mail
716,OH,No Mail
717,VA,Mail
718,GA,Mail
719,VA,No Mail
720,OH,Mail
721,VA,Mail
722,GA,No Mail
723,OH,No Mail
724,GA,Mail
725,GA,Mail
726,VA,No Mail
727,GA,No Mail
728,GA,Mail
729,OH,Mail
730,OH,No Mail
731,VA,No Mail
732,GA,Mail
733,VA,No Mail
734,GA,No Mail
735,OH,Mail
736,VA,Mail
737,GA,No Mail
738,OH,No Mail
739,VA,No Mail
740,GA,Mail
741,VA,No Mail
742,GA,No Mail
743,VA,No Mail
744,VA,No Mail
745,GA,Mail
746,OH,Mail
747,GA,No Mail
748,GA,Mail
749,VA,No Mail
750,OH,Mail
751,GA,No Mail
752,GA,Mail
753,VA,Mail
754,GA,Mail
755,VA,No Mail
756,VA,No Mail
757,GA,No Mail
758,GA,Mail
759,GA,No Mail
760,GA,No Mail
761,OH,No Mail
762,VA,No Mail
763,GA,Mail
764,GA,Mail
765,GA,No Mail
766,GA,Mail
767,OH,Mail
768,GA,No Mail
769,OH,Mail
770,VA,No Mail
771,GA,Mail
772,GA,Mail
773,OH,Mail
774,VA,Mail
775,OH,No Mail
776,OH,Mail
777,VA,Mail
778,GA,Mail
779,GA,Mail
780,GA,Mail
781,GA,Mail
782,OH,Mail
783,VA,Mail
784,OH,No Mail
785,VA,Mail
786,VA,Mail
787,GA,No Mail
788,OH,Mail
789,GA,Mail
790,GA,No Mail
791,GA,Mail
792,OH,No Mail
793,VA,No Mail
794,OH,Mail
795,GA,No Mail
796,VA,No Mail
797,VA,Mail
798,VA,No Mail
799,GA,Mail
800,VA,No Mail
801,OH,No Mail
802,VA,No Mail
803,OH,Mail
804,OH,No Mail
805,OH,Mail
806,GA,No Mail
807,OH,Mail
808,VA,No Mail
809,VA,No Mail
810,OH,Mail
811,VA,No Mail
812,VA,No Mail
813,OH,No Mail
814,VA,No Mail
815,VA,Mail
816,OH,No Mail
817,VA,Mail
818,GA,No Mail
819,OH,No Mail
820,VA,No Mail
821,VA,Mail
822,GA,No Mail
823,GA,Mail
824,VA,No Mail
825,GA,No Mail
826,OH,Mail
827,GA,Mail
828,OH,No Mail
829,GA,Mail
830,VA,No Mail
831,OH,No Mail
832,VA,Mail
833,OH,Mail
834,OH,No Mail
835,VA,No Mail
836,GA,No Mail
837,VA,Mail
838,GA,Mail
839,GA,No Mail
840,VA,No Mail
841,VA,No Mail
842,VA,Mail
843,GA,No Mail
844,VA,Mail
845,VA,No Mail
846,GA,No Mail
847,VA,No Mail
848,GA,No Mail
849,OH,No Mail
850,GA,Mail
851,GA,No Mail
852,OH,No Mail
853,GA,No Mail
854,GA,Mail
855,OH,Mail
856,VA,Mail
857,VA,Mail
858,GA,No Mail
859,OH,No Mail
860,GA,Mail
861,OH,Mail
862,OH,No Mail
863,GA,Mail
864,OH,Mail
865,OH,No Mail
866,VA,Mail
867,OH,No Mail
868,OH,Mail
869,OH,No Mail
870,OH,Mail
871,GA,No Mail
872,GA,No Mail
873,GA,Mail
874,GA,Mail
875,OH,Mail
876,GA,Mail
877,GA,No Mail
878,OH,Mail
879,VA,No Mail
880,OH,No Mail
881,OH,Mail
882,VA,No Mail
883,GA,Mail
884,GA,Mail
885,GA,No Mail
886,VA,No Mail
887,VA,No Mail
888,VA,Mail
889,VA,No Mail
890,OH,No Mail
891,OH,No Mail
892,GA,Mail
893,GA,No Mail
894,GA,Mail
895,OH,No Mail
896,VA,Mail
897,GA,No Mail
898,OH,Mail
899,VA,Mail
900,GA,Mail
901,OH,Mail
902,OH,Mail
903,VA,No Mail
904,VA,No Mail
905,OH,No Mail
906,GA,No Mail
907,GA,Mail
908,VA,Mail
909,GA,Mail
910,VA,No Mail
911,GA,No Mail
912,VA,Mail
913,VA,No Mail
914,GA,Mail
915,OH,No Mail
916,OH,Mail
917,VA,No Mail
918,GA,No Mail
919,VA,No Mail
920,OH,Mail
921,GA,Mail
922,VA,No Mail
923,GA,Mail
924,GA,Mail
925,OH,No Mail
926,GA,Mail
927,GA,Mail
928,GA,Mail
929,VA,Mail
930,OH,No Mail
931,GA,Mail
932,GA,No Mail
933,OH,No Mail
934,GA,No Mail
935,OH,No Mail
936,OH,Mail
937,VA,No Mail
938,VA,Mail
939,OH,No Mail
940,GA,No Mail
941,VA,Mail
942,OH,No Mail
943,VA,No Mail
944,OH,No Mail
945,OH,Mail
946,GA,No Mail
947,GA,No Mail
948,GA,Mail
949,VA,No Mail
950,GA,No Mail
951,VA,Mail
952,VA,Mail
953,VA,No Mail
954,GA,No Mail
955,GA,No Mail
956,VA,No Mail
957,OH,No Mail
958,VA,Mail
959,OH,Mail
960,GA,Mail
961,OH,No Mail
962,OH,No Mail
963,OH,Mail
964,OH,No Mail
965,VA,Mail
966,GA,Mail
967,OH,Mail
968,GA,No Mail
969,GA,No Mail
970,OH,No Mail
971,GA,No Mail
972,GA,Mail
973,OH,No Mail
974,GA,No Mail
975,GA,No Mail
976,OH,No Mail
977,GA,Mail
978,GA,Mail
979,OH,No Mail
980,OH,Mail
981,GA,Mail
982,VA,Mail
983,GA,Mail
984,OH,Mail
985,OH,Mail
986,GA,Mail
987,GA,Mail
988,GA,Mail
989,GA,Mail
990,OH,Mail
991,GA,No Mail
992,GA,Mail
993,GA,No Mail
994,VA,Mail
995,OH,Mail
996,VA,Mail
997,GA,No Mail
998,OH,Mail
999,VA,No Mail
1000,GA,Mail
1001,GA,Mail
1002,OH,Mail
1003,VA,No Mail
1004,GA,No Mail
1005,GA,Mail
1006,VA,Mail
1007,OH,Mail
1008,GA,Mail
1009,OH,Mail
1010,OH,No Mail
1011,VA,No Mail
1012,OH,No Mail
1013,VA,Mail
1014,OH,Mail
1015,GA,Mail
1016,OH,No Mail
1017,GA,No Mail
1018,GA,Mail
1019,VA,Mail
1020,GA,No Mail
1021,VA,Mail
1022,OH,No Mail
1023,VA,Mail
1024,OH,Mail
1025,VA,No Mail
1026,GA,No Mail
1027,OH,Mail
1028,VA,Mail
1029,OH,Mail
1030,OH,Mail
1031,VA,Mail
1032,VA,No Mail
1033,VA,No Mail
1034,OH,Mail
1035,VA,No Mail
1036,GA,No Mail
1037,GA,Mail
1038,VA,Mail
1039,OH,Mail
1040,GA,No Mail
1041,VA,Mail
1042,GA,Mail
1043,OH,No Mail
1044,VA,Mail
1045,VA,Mail
1046,VA,Mail
1047,OH,Mail
1048,OH,Mail
1049,GA,Mail
1050,VA,Mail
1051,GA,Mail
1052,GA,No Mail
1053,GA,Mail
1054,OH,No Mail
1055,GA,No Mail
1056,OH,Mail
1057,GA,No Mail
1058,GA,No Mail
1059,OH,No Mail
1060,GA,No Mail
1061,OH,Mail
1062,GA,No Mail
1063,OH,Mail
1064,GA,No Mail
1065,OH,Mail
1066,OH,No Mail
1067,VA,No Mail
1068,OH,No Mail
1069,OH,Mail
1070,GA,Mail
1071,OH,No Mail
1072,OH,No Mail
1073,VA,No Mail
1074,VA,No Mail
1075,OH,Mail
1076,VA,No Mail
1077,VA,Mail
1078,VA,Mail
1079,OH,No Mail
1080,VA,No Mail
1081,GA,No Mail
1082,OH,Mail
1083,VA,No Mail
1084,VA,Mail
1085,OH,No Mail
1086,OH,No Mail
1087,OH,Mail
1088,OH,No Mail
1089,VA,Mail
1090,VA,No Mail
1091,VA,No Mail
1092,GA,Mail
1093,GA,No Mail
1094,VA,Mail
1095,OH,Mail
1096,OH,Mail
1097,VA,Mail
1098,VA,No Mail
1099,GA,No Mail
1100,GA,No Mail
1101,VA,No Mail
1102,GA,No Mail
1103,GA,Mail
1104,VA,Mail
1105,GA,No Mail
1106,GA,Mail
1107,VA,Mail
1108,OH,No Mail
1109,VA,Mail
1110,OH,Mail
1111,VA,No Mail
1112,VA,Mail
1113,VA,Mail
1114,OH,Mail
1115,OH,Mail
1116,OH,Mail
1117,GA,Mail
1118,OH,No Mail
1119,VA,Mail
1120,VA,Mail
1121,GA,Mail
1122,OH,Mail
1123,GA,Mail
1124,GA,Mail
1125,OH,Mail
1126,GA,No Mail
1127,GA,No Mail
1128,OH,Mail
1129,VA,Mail
1130,GA,Mail
1131,OH,Mail
1132,GA,Mail
1133,GA,Mail
1134,GA,Mail
1135,VA,Mail
1136,GA,Mail
1137,OH,No Mail
1138,OH,Mail
1139,OH,Mail
1140,VA,No Mail
1141,GA,Mail
1142,GA,Mail
1143,VA,No Mail
1144,OH,Mail
1145,GA,No Mail
1146,OH,Mail
1147,GA,Mail
1148,GA,Mail
1149,GA,No Mail
1150,VA,Mail
1151,GA,No Mail
1152,OH,No Mail
1153,GA,No Mail
1154,OH,No Mail
1155,GA,Mail
1156,OH,Mail
1157,GA,Mail
1158,GA,No Mail
1159,OH,No Mail
1160,GA,Mail
1161,VA,No Mail
1162,GA,No Mail
1163,OH,Mail
1164,VA,No Mail
1165,VA,Mail
1166,GA,No Mail
1167,OH,Mail
1168,GA,No Mail
1169,OH,No Mail
1170,GA,No Mail
1171,OH,No Mail
1172,VA,Mail
1173,GA,No Mail
1174,GA,Mail
1175,OH,Mail
1176,VA,No Mail
1177,OH,No Mail
1178,GA,Mail
1179,OH,Mail
1180,GA,No Mail
1181,OH,No Mail
1182,VA,No Mail
1183,VA,No Mail
1184,GA,Mail
1185,OH,No Mail
1186,OH,No Mail
1187,GA,No Mail
1188,GA,Mail
1189,VA,No Mail
1190,OH,Mail
1191,VA,Mail
1192,OH,Mail
1193,OH,No Mail
1194,GA,Mail
1195,OH,Mail
1196,GA,Mail
1197,GA,Mail
1198,OH,No Mail
1199,VA,No Mail
1200,OH,No Mail
1201,GA,No Mail
1202,VA,No Mail
1203,OH,Mail
1204,OH,Mail
1205,VA,Mail
1206,OH,No Mail
1207,OH,Mail
1208,VA,No Mail
1209,GA,No Mail
1210,GA,Mail
1211,VA,No Mail
1212,OH,No Mail
1213,VA,Mail
1214,GA,Mail
1215,OH,No Mail
1216,VA,No Mail
1217,OH,Mail
1218,OH,Mail
1219,OH,Mail
1220,GA,Mail
1221,VA,Mail
1222,OH,Mail
1223,OH,No Mail
1224,GA,Mail
1225,GA,No Mail
1226,GA,No Mail
1227,GA,Mail
1228,GA,Mail
1229,GA,Mail
1230,VA,No Mail
1231,GA,No Mail
1232,VA,No Mail
1233,GA,No Mail
1234,GA,Mail
1235,VA,Mail
1236,VA,Mail
1237,OH,No Mail
1238,VA,No Mail
1239,VA,No Mail
1240,OH,No Mail
1241,OH,No Mail
1242,VA,No Mail
1243,OH,No Mail
1244,OH,No Mail
1245,OH,No Mail
1246,VA,No Mail
1247,VA,No Mail
1248,OH,No Mail
1249,VA,Mail
1250,GA,Mail
1251,VA,No Mail
1252,OH,Mail
1253,GA,No Mail
1254,VA,No Mail
1255,VA,No Mail
1256,OH,Mail
1257,OH,Mail
1258,OH,Mail
1259,VA,Mail
1260,GA,No Mail
1261,GA,No Mail
1262,GA,No Mail
1263,VA,Mail
1264,GA,No Mail
1265,GA,No Mail
1266,VA,Mail
1267,OH,No Mail
1268,OH,Mail
1269,OH,No Mail
1270,VA,Mail
1271,GA,No Mail
1272,VA,No Mail
1273,OH,Mail
1274,GA,Mail
1275,VA,Mail
1276,OH,No Mail
1277,GA,Mail
1278,VA,Mail
1279,VA,No Mail
1280,OH,Mail
1281,VA,Mail
1282,VA,No Mail
1283,VA,Mail
1284,OH,No Mail
1285,VA,Mail
1286,GA,No Mail
1287,OH,Mail
1288,VA,No Mail
1289,GA,No Mail
1290,OH,No Mail
1291,OH,Mail
1292,OH,Mail
1293,VA,No Mail
1294,OH,Mail
1295,OH,Mail
1296,OH,Mail
1297,GA,Mail
1298,OH,No Mail
1299,VA,Mail
1300,GA,Mail
1301,GA,Mail
1302,OH,Mail
1303,OH,No Mail
1304,VA,Mail
1305,OH,No Mail
1306,GA,Mail
1307,OH,Mail
1308,GA,Mail
1309,OH,No Mail
1310,GA,Mail
1311,GA,Mail
1312,OH,Mail
1313,GA,Mail
1314,VA,Mail
1315,GA,No Mail
1316,OH,Mail
1317,GA,No Mail
1318,GA,No Mail
1319,OH,No Mail
1320,GA,Mail
1321,VA,Mail
1322,OH,No Mail
1323,GA,No Mail
1324,GA,Mail
1325,OH,Mail
1326,GA,No Mail
1327,OH,Mail
1328,GA,Mail
1329,GA,No Mail
1330,VA,Mail
1331,OH,No Mail
1332,VA,Mail
1333,OH,Mail
1334,GA,Mail
1335,VA,No Mail
1336,VA,Mail
1337,VA,Mail
1338,GA,No Mail
1339,OH,No Mail
1340,OH,No Mail
1341,GA,No Mail
1342,VA,Mail
1343,VA,No Mail
1344,VA,No Mail
1345,OH,No Mail
1346,GA,Mail
1347,OH,No Mail
1348,VA,Mail
1349,VA,No Mail
1350,OH,No Mail
1351,OH,Mail
1352,GA,No Mail
1353,VA,Mail
1354,GA,Mail
1355,GA,Mail
1356,OH,No Mail
1357,OH,No Mail
1358,GA,No Mail
1359,GA,No Mail
1360,OH,No Mail
1361,GA,Mail
1362,GA,No Mail
1363,VA,No Mail
1364,VA,No Mail
1365,OH,No Mail
1366,GA,Mail
1367,VA,Mail
1368,GA,Mail
1369,OH,Mail
1370,GA,Mail
1371,OH,No Mail
1372,GA,No Mail
1373,GA,No Mail
1374,OH,No Mail
1375,OH,No Mail
1376,GA,No Mail
1377,GA,No Mail
1378,GA,No Mail
1379,VA,Mail
1380,VA,No Mail
1381,VA,No Mail
1382,VA,Mail
1383,OH,No Mail
1384,GA,No Mail
1385,VA,Mail
1386,GA,No Mail
1387,GA,Mail
1388,GA,Mail
1389,OH,Mail
1390,GA,Mail
1391,OH,Mail
1392,VA,No Mail
1393,OH,No Mail
1394,GA,Mail
1395,GA,Mail
1396,OH,No Mail
1397,OH,Mail
1398,OH,Mail
1399,VA,No Mail
1400,VA,Mail
1401,VA,No Mail
1402,OH,No Mail
1403,OH,Mail
1404,GA,Mail
1405,OH,Mail
1406,GA,Mail
1407,GA,Mail
1408,OH,No Mail
1409,OH,No Mail
1410,OH,No Mail
1411,GA,No Mail
1412,GA,No Mail
1413,VA,No Mail
1414,OH,No Mail
1415,OH,Mail
1416,OH,No Mail
1417,VA,No Mail
1418,GA,No Mail
1419,OH,No Mail
1420,OH,No Mail
1421,GA,Mail
1422,VA,No Mail
1423,VA,No Mail
1424,OH,Mail
1425,VA,No Mail
1426,OH,No Mail
